freq_ghz,S21_dB,S11_dB
4.435000,-29.383325,-0.005008
4.440000,-29.170967,-0.005260
4.445000,-28.980289,-0.005496
4.450000,-28.808856,-0.005717
4.455000,-28.654600,-0.005924
4.460000,-28.515751,-0.006117
4.465000,-28.390787,-0.006295
4.470000,-28.278386,-0.006461
4.475000,-28.177400,-0.006613
4.480000,-28.086821,-0.006752
4.485000,-28.005765,-0.006879
4.490000,-27.933449,-0.006995
4.495000,-27.869181,-0.007099
4.500000,-27.812343,-0.007193
4.505000,-27.762387,-0.007276
4.510000,-27.718818,-0.007350
4.515000,-27.681196,-0.007414
4.520000,-27.649124,-0.007469
4.525000,-27.622243,-0.007515
4.530000,-27.600230,-0.007553
4.535000,-27.582793,-0.007584
4.540000,-27.569668,-0.007607
4.545000,-27.560615,-0.007623
4.550000,-27.555417,-0.007632
4.555000,-27.553877,-0.007634
4.560000,-27.555817,-0.007631
4.565000,-27.561076,-0.007622
4.570000,-27.569507,-0.007607
4.575000,-27.580978,-0.007587
4.580000,-27.595371,-0.007562
4.585000,-27.612579,-0.007532
4.590000,-27.632508,-0.007497
4.595000,-27.655073,-0.007458
4.600000,-27.680202,-0.007415
4.605000,-27.707830,-0.007368
4.610000,-27.737903,-0.007317
4.615000,-27.770377,-0.007263
4.620000,-27.805215,-0.007205
4.625000,-27.842392,-0.007143
4.630000,-27.881891,-0.007079
4.635000,-27.923702,-0.007011
4.640000,-27.967829,-0.006940
4.645000,-28.014282,-0.006866
4.650000,-28.063082,-0.006789
4.655000,-28.114264,-0.006709
4.660000,-28.167870,-0.006627
4.665000,-28.223958,-0.006542
4.670000,-28.282600,-0.006454
4.675000,-28.343880,-0.006364
4.680000,-28.407901,-0.006271
4.685000,-28.474785,-0.006175
4.690000,-28.544674,-0.006076
4.695000,-28.617736,-0.005975
4.700000,-28.694163,-0.005870
4.705000,-28.774181,-0.005763
4.710000,-28.858053,-0.005653
4.715000,-28.946083,-0.005539
4.720000,-29.038627,-0.005422
4.725000,-29.136099,-0.005302
4.730000,-29.238985,-0.005178
4.735000,-29.347857,-0.005050
4.740000,-29.463389,-0.004917
4.745000,-29.586381,-0.004780
4.750000,-29.717791,-0.004637
4.755000,-29.858768,-0.004489
4.760000,-30.010706,-0.004334
4.765000,-30.175305,-0.004173
4.770000,-30.354665,-0.004004
4.775000,-30.551401,-0.003827
4.780000,-30.768809,-0.003640
4.785000,-31.011104,-0.003442
4.790000,-31.283754,-0.003233
4.795000,-31.593975,-0.003010
4.800000,-31.951488,-0.002772
4.805000,-32.369695,-0.002517
4.810000,-32.867594,-0.002245
4.815000,-33.473052,-0.001952
4.820000,-34.228722,-0.001641
4.825000,-35.203614,-0.001311
4.830000,-36.518259,-0.000968
4.835000,-38.408529,-0.000627
4.840000,-41.433271,-0.000312
4.845000,-47.581923,-0.000076
4.850000,-59.518713,-0.000005
4.855000,-42.694421,-0.000233
4.860000,-36.726145,-0.000923
4.865000,-33.008050,-0.002173
4.870000,-30.496406,-0.003876
4.875000,-28.844680,-0.005670
4.880000,-27.838177,-0.007151
4.885000,-27.288723,-0.008116
4.890000,-27.037812,-0.008599
4.895000,-26.969212,-0.008736
4.900000,-27.006644,-0.008661
4.905000,-27.103343,-0.008470
4.910000,-27.231667,-0.008223
4.915000,-27.375592,-0.007955
4.920000,-27.525937,-0.007684
4.925000,-27.677523,-0.007420
4.930000,-27.827498,-0.007168
4.935000,-27.974372,-0.006929
4.940000,-28.117446,-0.006705
4.945000,-28.256482,-0.006493
4.950000,-28.391503,-0.006294
4.955000,-28.522680,-0.006107
4.960000,-28.650260,-0.005930
4.965000,-28.774521,-0.005763
4.970000,-28.895755,-0.005604
4.975000,-29.014247,-0.005453
4.980000,-29.130270,-0.005309
4.985000,-29.244082,-0.005172
4.990000,-29.355924,-0.005040
4.995000,-29.466018,-0.004914
5.000000,-29.574569,-0.004793
5.005000,-29.681767,-0.004676
5.010000,-29.787784,-0.004563
5.015000,-29.892783,-0.004454
5.020000,-29.996912,-0.004348
5.025000,-30.100307,-0.004246
5.030000,-30.203096,-0.004147
5.035000,-30.305397,-0.004050
5.040000,-30.407322,-0.003956
5.045000,-30.508972,-0.003864
5.050000,-30.610447,-0.003775
5.055000,-30.711839,-0.003688
5.060000,-30.813233,-0.003603
5.065000,-30.914714,-0.003520
5.070000,-31.016362,-0.003438
5.075000,-31.118252,-0.003358
5.080000,-31.220459,-0.003280
5.085000,-31.323054,-0.003204
5.090000,-31.426107,-0.003128
5.095000,-31.529687,-0.003055
5.100000,-31.633861,-0.002982
5.105000,-31.738694,-0.002911
5.110000,-31.844254,-0.002841
5.115000,-31.950606,-0.002772
5.120000,-32.057815,-0.002705
5.125000,-32.165948,-0.002638
5.130000,-32.275070,-0.002573
5.135000,-32.385250,-0.002508
5.140000,-32.496556,-0.002445
5.145000,-32.609058,-0.002382
5.150000,-32.722826,-0.002321
5.155000,-32.837934,-0.002260
5.160000,-32.954457,-0.002200
5.165000,-33.072472,-0.002141
5.170000,-33.192059,-0.002083
5.175000,-33.313302,-0.002026
5.180000,-33.436287,-0.001969
5.185000,-33.561103,-0.001913
5.190000,-33.687844,-0.001858
5.195000,-33.816608,-0.001804
5.200000,-33.947498,-0.001750
5.205000,-34.080621,-0.001697
5.210000,-34.216092,-0.001645
5.215000,-34.354028,-0.001594
5.220000,-34.494558,-0.001543
5.225000,-34.637813,-0.001493
5.230000,-34.783936,-0.001443
5.235000,-34.933076,-0.001395
5.240000,-35.085394,-0.001347
5.245000,-35.241059,-0.001299
5.250000,-35.400253,-0.001252
5.255000,-35.563169,-0.001206
5.260000,-35.730017,-0.001161
5.265000,-35.901018,-0.001116
5.270000,-36.076414,-0.001072
5.275000,-36.256461,-0.001028
5.280000,-36.441441,-0.000985
5.285000,-36.631654,-0.000943
5.290000,-36.827428,-0.000902
5.295000,-37.029120,-0.000861
5.300000,-37.237117,-0.000820
5.305000,-37.451843,-0.000781
5.310000,-37.673764,-0.000742
5.315000,-37.903387,-0.000704
5.320000,-38.141277,-0.000666
5.325000,-38.388053,-0.000629
5.330000,-38.644405,-0.000593
5.335000,-38.911100,-0.000558
5.340000,-39.188994,-0.000523
5.345000,-39.479048,-0.000490
5.350000,-39.782347,-0.000457
5.355000,-40.100116,-0.000424
5.360000,-40.433753,-0.000393
5.365000,-40.784855,-0.000362
5.370000,-41.155265,-0.000333
5.375000,-41.547118,-0.000304
5.380000,-41.962910,-0.000276
5.385000,-42.405582,-0.000250
5.390000,-42.878631,-0.000224
5.395000,-43.386259,-0.000199
5.400000,-43.933577,-0.000176
5.405000,-44.526881,-0.000153
5.410000,-45.174054,-0.000132
5.415000,-45.885136,-0.000112
5.420000,-46.673197,-0.000094
5.425000,-47.555684,-0.000077
5.430000,-48.556612,-0.000061
5.435000,-49.710336,-0.000047
5.440000,-51.068481,-0.000034
5.445000,-52.713857,-0.000024
5.450000,-54.792042,-0.000015
5.455000,-57.596934,-0.000008
5.460000,-61.882044,-0.000003
5.465000,-71.052028,-0.000001
5.470000,-71.799988,-0.000001
5.475000,-61.861357,-0.000004
5.480000,-57.260383,-0.000009
5.485000,-54.203719,-0.000017
5.490000,-51.894516,-0.000029
5.495000,-50.026885,-0.000044
5.500000,-48.450486,-0.000063
5.505000,-47.080152,-0.000086
5.510000,-45.862883,-0.000114
5.515000,-44.763411,-0.000147
5.520000,-43.757038,-0.000184
5.525000,-42.825764,-0.000228
5.530000,-41.956031,-0.000279
5.535000,-41.137341,-0.000336
5.540000,-40.361371,-0.000402
5.545000,-39.621380,-0.000476
5.550000,-38.911804,-0.000560
5.555000,-38.227961,-0.000656
5.560000,-37.565852,-0.000763
5.565000,-36.921994,-0.000885
5.570000,-36.293308,-0.001023
5.575000,-35.677021,-0.001178
5.580000,-35.070595,-0.001355
5.585000,-34.471662,-0.001555
5.590000,-33.877974,-0.001782
5.595000,-33.287354,-0.002041
5.600000,-32.697652,-0.002338
5.605000,-32.106705,-0.002679
5.610000,-31.512292,-0.003071
5.615000,-30.912093,-0.003526
5.620000,-30.303632,-0.004056
5.625000,-29.684224,-0.004678
5.630000,-29.050907,-0.005412
5.635000,-28.400353,-0.006287
5.640000,-27.728765,-0.007338
5.645000,-27.031745,-0.008616
5.650000,-26.304115,-0.010189
5.655000,-25.539682,-0.012152
5.660000,-24.730929,-0.014642
5.665000,-23.868577,-0.017863
5.670000,-22.940992,-0.022126
5.675000,-21.933346,-0.027920
5.680000,-20.826464,-0.036056
5.685000,-19.595285,-0.047936
5.690000,-18.207145,-0.066124
5.695000,-16.621222,-0.095588
5.700000,-14.795505,-0.146384
5.705000,-12.728432,-0.238107
5.710000,-10.633425,-0.392618
5.715000,-9.353261,-0.535944
5.720000,-9.958002,-0.462414
5.725000,-11.906695,-0.289426
5.730000,-14.079466,-0.173143
5.735000,-16.055711,-0.109024
5.740000,-17.783143,-0.072934
5.745000,-19.296583,-0.051341
5.750000,-20.639647,-0.037622
5.755000,-21.849049,-0.028445
5.760000,-22.953398,-0.022041
5.765000,-23.974740,-0.017412
5.770000,-24.930238,-0.013967
5.775000,-25.833497,-0.011340
5.780000,-26.695536,-0.009296
5.785000,-27.525493,-0.007677
5.790000,-28.331141,-0.006376
5.795000,-29.119273,-0.005317
5.800000,-29.895999,-0.004446
5.805000,-30.666983,-0.003723
5.810000,-31.437653,-0.003117
5.815000,-32.213380,-0.002607
5.820000,-32.999669,-0.002175
5.825000,-33.802348,-0.001808
5.830000,-34.627803,-0.001496
5.835000,-35.483254,-0.001228
5.840000,-36.377129,-0.001000
5.845000,-37.319570,-0.000805
5.850000,-38.323173,-0.000639
5.855000,-39.404094,-0.000499
5.860000,-40.583803,-0.000381
5.865000,-41.892001,-0.000282
5.870000,-43.371791,-0.000201
5.875000,-45.089605,-0.000136
5.880000,-47.156349,-0.000085
5.885000,-49.779626,-0.000047
5.890000,-53.425685,-0.000021
5.895000,-59.587286,-0.000007
5.900000,-102.018375,-0.000002
5.905000,-59.656552,-0.000007
5.910000,-53.762709,-0.000020
5.915000,-50.341846,-0.000042
5.920000,-47.934880,-0.000072
5.925000,-46.082885,-0.000109
5.930000,-44.581211,-0.000153
5.935000,-43.320678,-0.000204
5.940000,-42.236150,-0.000261
5.945000,-41.285659,-0.000325
5.950000,-40.440595,-0.000394
5.955000,-39.680587,-0.000469
5.960000,-38.990634,-0.000549
5.965000,-38.359372,-0.000635
5.970000,-37.777995,-0.000725
5.975000,-37.239547,-0.000821
5.980000,-36.738440,-0.000921
5.985000,-36.270125,-0.001026
5.990000,-35.830847,-0.001135
5.995000,-35.417477,-0.001248
6.000000,-35.027380,-0.001365
6.005000,-34.658320,-0.001486
6.010000,-34.308380,-0.001610
6.015000,-33.975912,-0.001738
6.020000,-33.659485,-0.001870
6.025000,-33.357850,-0.002004
6.030000,-33.069911,-0.002142
6.035000,-32.794704,-0.002282
6.040000,-32.531372,-0.002424
6.045000,-32.279156,-0.002569
6.050000,-32.037374,-0.002716
6.055000,-31.805418,-0.002866
6.060000,-31.582738,-0.003016
6.065000,-31.368837,-0.003169
6.070000,-31.163266,-0.003323
6.075000,-30.965615,-0.003478
6.080000,-30.775510,-0.003633
6.085000,-30.592607,-0.003790
6.090000,-30.416593,-0.003947
6.095000,-30.247177,-0.004104
6.100000,-30.084090,-0.004262
6.105000,-29.927083,-0.004419
6.110000,-29.775923,-0.004576
6.115000,-29.630395,-0.004732
6.120000,-29.490295,-0.004888
6.125000,-29.355433,-0.005042
