freq_ghz,S21_dB,S11_dB
4.435000,-11.570133,-0.313587
4.440000,-11.699275,-0.304070
4.445000,-11.828674,-0.294834
4.450000,-11.958361,-0.285868
4.455000,-12.088369,-0.277162
4.460000,-12.218735,-0.268707
4.465000,-12.349495,-0.260493
4.470000,-12.480688,-0.252512
4.475000,-12.612356,-0.244755
4.480000,-12.744541,-0.237213
4.485000,-12.877289,-0.229880
4.490000,-13.010648,-0.222747
4.495000,-13.144668,-0.215807
4.500000,-13.279402,-0.209053
4.505000,-13.414908,-0.202479
4.510000,-13.551243,-0.196078
4.515000,-13.688471,-0.189843
4.520000,-13.826659,-0.183770
4.525000,-13.965876,-0.177852
4.530000,-14.106198,-0.172084
4.535000,-14.247704,-0.166460
4.540000,-14.390479,-0.160975
4.545000,-14.534611,-0.155625
4.550000,-14.680198,-0.150405
4.555000,-14.827340,-0.145309
4.560000,-14.976148,-0.140335
4.565000,-15.126738,-0.135476
4.570000,-15.279235,-0.130731
4.575000,-15.433774,-0.126093
4.580000,-15.590500,-0.121561
4.585000,-15.749567,-0.117129
4.590000,-15.911143,-0.112795
4.595000,-16.075411,-0.108556
4.600000,-16.242565,-0.104407
4.605000,-16.412819,-0.100346
4.610000,-16.586403,-0.096370
4.615000,-16.763570,-0.092477
4.620000,-16.944593,-0.088662
4.625000,-17.129773,-0.084924
4.630000,-17.319439,-0.081261
4.635000,-17.513952,-0.077669
4.640000,-17.713711,-0.074148
4.645000,-17.919156,-0.070693
4.650000,-18.130774,-0.067305
4.655000,-18.349107,-0.063980
4.660000,-18.574760,-0.060717
4.665000,-18.808410,-0.057516
4.670000,-19.050815,-0.054373
4.675000,-19.302832,-0.051289
4.680000,-19.565433,-0.048263
4.685000,-19.839721,-0.045293
4.690000,-20.126960,-0.042380
4.695000,-20.428601,-0.039523
4.700000,-20.746325,-0.036722
4.705000,-21.082089,-0.033979
4.710000,-21.438185,-0.031294
4.715000,-21.817327,-0.028668
4.720000,-22.222749,-0.026105
4.725000,-22.658345,-0.023606
4.730000,-23.128862,-0.021176
4.735000,-23.640152,-0.018818
4.740000,-24.199543,-0.016539
4.745000,-24.816366,-0.014344
4.750000,-25.502743,-0.012243
4.755000,-26.274803,-0.010246
4.760000,-27.154638,-0.008364
4.765000,-28.173620,-0.006612
4.770000,-29.378397,-0.005008
4.775000,-30.842664,-0.003572
4.780000,-32.693047,-0.002330
4.785000,-35.175981,-0.001312
4.790000,-38.881524,-0.000555
4.795000,-46.005559,-0.000102
4.800000,-55.381370,-0.000006
4.805000,-41.118533,-0.000329
4.810000,-35.757086,-0.001147
4.815000,-32.301080,-0.002551
4.820000,-29.701052,-0.004649
4.825000,-27.587485,-0.007570
4.830000,-25.786822,-0.011468
4.835000,-24.203797,-0.016523
4.840000,-22.780800,-0.022949
4.845000,-21.480757,-0.030989
4.850000,-20.278919,-0.040917
4.855000,-19.158559,-0.053034
4.860000,-18.108580,-0.067654
4.865000,-17.122124,-0.085077
4.870000,-16.195732,-0.105554
4.875000,-15.328790,-0.129226
4.880000,-14.523094,-0.156047
4.885000,-13.782396,-0.185694
4.890000,-13.111842,-0.217485
4.895000,-12.517218,-0.250333
4.900000,-12.004030,-0.282775
4.905000,-11.576484,-0.313108
4.910000,-11.236563,-0.339620
4.915000,-10.983398,-0.360875
4.920000,-10.813099,-0.375949
4.925000,-10.719085,-0.384550
4.930000,-10.692795,-0.386992
4.935000,-10.724587,-0.384041
4.940000,-10.804595,-0.376718
4.945000,-10.923423,-0.366110
4.950000,-11.072590,-0.353232
4.955000,-11.244764,-0.338952
4.960000,-11.433808,-0.323963
4.965000,-11.634728,-0.308783
4.970000,-11.843542,-0.293787
4.975000,-12.057136,-0.279224
4.980000,-12.273112,-0.265256
4.985000,-12.489657,-0.251973
4.990000,-12.705417,-0.239418
4.995000,-12.919406,-0.227600
5.000000,-13.130920,-0.216507
5.005000,-13.339474,-0.206111
5.010000,-13.544751,-0.196377
