label,target_f_ghz,predicted_f_ghz,landed_f_ghz,delta_pct,delta_pct_vs_predicted,fan_terminated,depth_db,ambiguous,escalation_perturbed_f_ghz,escalation_shifted_as_expected
4.5GHz,4.5,4.00990444665146,4.59,1.999999999999997,14.466567995977016,False,-63.3326399093293,False,,
4.7GHz,4.7,3.2165768195884037,4.27,-9.148936170212778,32.749821922375006,True,-49.5754418627998,False,,
5.3GHz,5.3,4.252103890377102,,,,True,,True,4.635,
6.1GHz,6.1,5.634077473610701,5.87,-3.770491803278681,4.187420700093844,True,-62.5825380246762,False,,
7.0GHz,7.0,7.299664801968222,6.81,-2.7142857142857197,-6.708045030179928,True,-65.5704392888994,False,,
8.0GHz,8.0,8.1447215205177,8.17,2.124999999999999,0.31036640624997774,False,-49.3521514920489,False,,
