freq_ghz,S21_dB,S11_dB
4.435000,-31.036966,-0.003422
4.440000,-30.781089,-0.003630
4.445000,-30.550834,-0.003827
4.450000,-30.343171,-0.004015
4.455000,-30.155554,-0.004192
4.460000,-29.985817,-0.004360
4.465000,-29.832110,-0.004517
4.470000,-29.692840,-0.004664
4.475000,-29.566624,-0.004802
4.480000,-29.452257,-0.004930
4.485000,-29.348684,-0.005049
4.490000,-29.254975,-0.005159
4.495000,-29.170308,-0.005261
4.500000,-29.093952,-0.005354
4.505000,-29.025257,-0.005440
4.510000,-28.963639,-0.005518
4.515000,-28.908576,-0.005588
4.520000,-28.859598,-0.005651
4.525000,-28.816279,-0.005708
4.530000,-28.778234,-0.005758
4.535000,-28.745115,-0.005803
4.540000,-28.716603,-0.005841
4.545000,-28.692410,-0.005873
4.550000,-28.672271,-0.005901
4.555000,-28.655943,-0.005923
4.560000,-28.643204,-0.005940
4.565000,-28.633852,-0.005953
4.570000,-28.627698,-0.005962
4.575000,-28.624569,-0.005966
4.580000,-28.624307,-0.005966
4.585000,-28.626765,-0.005963
4.590000,-28.631806,-0.005956
4.595000,-28.639306,-0.005946
4.600000,-28.649147,-0.005932
4.605000,-28.661223,-0.005916
4.610000,-28.675434,-0.005896
4.615000,-28.691688,-0.005874
4.620000,-28.709899,-0.005850
4.625000,-28.729989,-0.005823
4.630000,-28.751883,-0.005793
4.635000,-28.775516,-0.005762
4.640000,-28.800825,-0.005728
4.645000,-28.827752,-0.005693
4.650000,-28.856247,-0.005656
4.655000,-28.886261,-0.005617
4.660000,-28.917753,-0.005576
4.665000,-28.950683,-0.005534
4.670000,-28.985018,-0.005490
4.675000,-29.020729,-0.005445
4.680000,-29.057792,-0.005399
4.685000,-29.096188,-0.005351
4.690000,-29.135902,-0.005303
4.695000,-29.176926,-0.005253
4.700000,-29.219257,-0.005202
4.705000,-29.262902,-0.005150
4.710000,-29.307871,-0.005096
4.715000,-29.354186,-0.005042
4.720000,-29.401881,-0.004987
4.725000,-29.451000,-0.004931
4.730000,-29.501603,-0.004874
4.735000,-29.553770,-0.004816
4.740000,-29.607604,-0.004756
4.745000,-29.663237,-0.004696
4.750000,-29.720838,-0.004634
4.755000,-29.780627,-0.004570
4.760000,-29.842885,-0.004505
4.765000,-29.907982,-0.004438
4.770000,-29.976399,-0.004369
4.775000,-30.048780,-0.004296
4.780000,-30.125987,-0.004221
4.785000,-30.209202,-0.004140
4.790000,-30.300070,-0.004055
4.795000,-30.400931,-0.003962
4.800000,-30.515190,-0.003859
4.805000,-30.647950,-0.003742
4.810000,-30.807100,-0.003608
4.815000,-31.005294,-0.003447
4.820000,-31.263735,-0.003248
