freq_ghz,S21_dB,S11_dB
4.435000,-23.319211,-0.020271
4.440000,-23.250624,-0.020594
4.445000,-23.193419,-0.020868
4.450000,-23.146474,-0.021096
4.455000,-23.108814,-0.021280
4.460000,-23.079591,-0.021424
4.465000,-23.058061,-0.021531
4.470000,-23.043574,-0.021604
4.475000,-23.035556,-0.021644
4.480000,-23.033502,-0.021655
4.485000,-23.036963,-0.021638
4.490000,-23.045542,-0.021595
4.495000,-23.058886,-0.021529
4.500000,-23.076682,-0.021441
4.505000,-23.098651,-0.021333
4.510000,-23.124543,-0.021206
4.515000,-23.154137,-0.021062
4.520000,-23.187236,-0.020901
4.525000,-23.223663,-0.020727
4.530000,-23.263264,-0.020538
4.535000,-23.305900,-0.020337
4.540000,-23.351450,-0.020125
4.545000,-23.399807,-0.019902
4.550000,-23.450878,-0.019669
4.555000,-23.504584,-0.019427
4.560000,-23.560857,-0.019176
4.565000,-23.619639,-0.018918
4.570000,-23.680886,-0.018652
4.575000,-23.744560,-0.018380
4.580000,-23.810637,-0.018102
4.585000,-23.879099,-0.017819
4.590000,-23.949940,-0.017530
4.595000,-24.023163,-0.017236
4.600000,-24.098777,-0.016938
4.605000,-24.176805,-0.016636
4.610000,-24.257276,-0.016330
4.615000,-24.340230,-0.016021
4.620000,-24.425716,-0.015708
4.625000,-24.513794,-0.015392
4.630000,-24.604536,-0.015073
4.635000,-24.698023,-0.014751
4.640000,-24.794350,-0.014427
4.645000,-24.893624,-0.014100
4.650000,-24.995968,-0.013771
4.655000,-25.101517,-0.013440
4.660000,-25.210426,-0.013106
4.665000,-25.322867,-0.012771
4.670000,-25.439032,-0.012433
4.675000,-25.559135,-0.012093
4.680000,-25.683416,-0.011751
4.685000,-25.812141,-0.011407
4.690000,-25.945609,-0.011061
4.695000,-26.084154,-0.010713
4.700000,-26.228148,-0.010363
4.705000,-26.378009,-0.010011
4.710000,-26.534210,-0.009656
4.715000,-26.697278,-0.009300
4.720000,-26.867812,-0.008941
4.725000,-27.046490,-0.008579
4.730000,-27.234082,-0.008216
4.735000,-27.431468,-0.007850
4.740000,-27.639654,-0.007481
4.745000,-27.859799,-0.007111
4.750000,-28.093244,-0.006738
4.755000,-28.341548,-0.006362
4.760000,-28.606534,-0.005984
4.765000,-28.890352,-0.005605
4.770000,-29.195551,-0.005223
4.775000,-29.525182,-0.004840
4.780000,-29.882931,-0.004456
4.785000,-30.273295,-0.004072
4.790000,-30.701832,-0.003687
4.795000,-31.175499,-0.003305
4.800000,-31.703154,-0.002925
4.805000,-32.296282,-0.002550
4.810000,-32.970118,-0.002181
4.815000,-33.745427,-0.001822
4.820000,-34.651491,-0.001476
4.825000,-35.731420,-0.001148
4.830000,-37.052382,-0.000844
4.835000,-38.727516,-0.000569
4.840000,-40.970402,-0.000335
4.845000,-44.266060,-0.000150
4.850000,-50.203491,-0.000029
4.855000,-75.619299,0.000012
4.860000,-48.724926,-0.000047
4.865000,-42.595302,-0.000229
4.870000,-38.829345,-0.000560
4.875000,-36.056298,-0.001070
4.880000,-33.838663,-0.001790
4.885000,-31.982634,-0.002749
4.890000,-30.387539,-0.003973
4.895000,-28.996419,-0.005476
4.900000,-27.775609,-0.007255
4.905000,-26.704795,-0.009286
4.910000,-25.771421,-0.011513
4.915000,-24.967121,-0.013857
4.920000,-24.285265,-0.016214
4.925000,-23.719273,-0.018472
4.930000,-23.261592,-0.020527
4.935000,-22.903300,-0.022294
4.940000,-22.634224,-0.023721
4.945000,-22.443399,-0.024789
4.950000,-22.319678,-0.025507
4.955000,-22.252305,-0.025907
4.960000,-22.231363,-0.026034
4.965000,-22.248042,-0.025935
4.970000,-22.294752,-0.025658
4.975000,-22.365111,-0.025246
4.980000,-22.453856,-0.024736
4.985000,-22.556712,-0.024157
4.990000,-22.670249,-0.023534
4.995000,-22.791742,-0.022884
5.000000,-22.919044,-0.022223
5.005000,-23.050476,-0.021560
5.010000,-23.184734,-0.020903
5.015000,-23.320811,-0.020258
5.020000,-23.457938,-0.019627
5.025000,-23.595531,-0.019015
5.030000,-23.733156,-0.018421
5.035000,-23.870491,-0.017847
5.040000,-24.007306,-0.017293
5.045000,-24.143444,-0.016759
5.050000,-24.278801,-0.016244
5.055000,-24.413316,-0.015748
5.060000,-24.546965,-0.015270
5.065000,-24.679748,-0.014809
5.070000,-24.811685,-0.014366
5.075000,-24.942814,-0.013938
5.080000,-25.073184,-0.013525
5.085000,-25.202853,-0.013127
5.090000,-25.331887,-0.012742
5.095000,-25.460356,-0.012370
5.100000,-25.588336,-0.012010
5.105000,-25.715905,-0.011662
5.110000,-25.843144,-0.011325
5.115000,-25.970135,-0.010998
5.120000,-26.096962,-0.010681
5.125000,-26.223709,-0.010373
5.130000,-26.350462,-0.010075
5.135000,-26.477308,-0.009784
5.140000,-26.604334,-0.009502
5.145000,-26.731628,-0.009227
5.150000,-26.859279,-0.008959
5.155000,-26.987376,-0.008699
5.160000,-27.116011,-0.008444
5.165000,-27.245275,-0.008196
5.170000,-27.375264,-0.007954
5.175000,-27.506070,-0.007718
5.180000,-27.637794,-0.007487
5.185000,-27.770532,-0.007261
5.190000,-27.904389,-0.007041
5.195000,-28.039469,-0.006825
5.200000,-28.175879,-0.006613
5.205000,-28.313731,-0.006407
5.210000,-28.453142,-0.006204
5.215000,-28.594230,-0.006005
5.220000,-28.737121,-0.005811
5.225000,-28.881944,-0.005620
5.230000,-29.028835,-0.005433
5.235000,-29.177938,-0.005249
5.240000,-29.329401,-0.005069
5.245000,-29.483381,-0.004892
5.250000,-29.640045,-0.004719
5.255000,-29.799569,-0.004548
5.260000,-29.962138,-0.004381
5.265000,-30.127949,-0.004217
5.270000,-30.297214,-0.004055
5.275000,-30.470156,-0.003897
5.280000,-30.647015,-0.003741
5.285000,-30.828048,-0.003588
5.290000,-31.013531,-0.003438
5.295000,-31.203760,-0.003291
5.300000,-31.399058,-0.003146
5.305000,-31.599770,-0.003003
5.310000,-31.806273,-0.002864
5.315000,-32.018976,-0.002727
5.320000,-32.238326,-0.002592
5.325000,-32.464810,-0.002461
5.330000,-32.698963,-0.002331
5.335000,-32.941376,-0.002205
5.340000,-33.192699,-0.002080
5.345000,-33.453652,-0.001959
5.350000,-33.725037,-0.001840
5.355000,-34.007749,-0.001724
5.360000,-34.302792,-0.001611
5.365000,-34.611297,-0.001500
5.370000,-34.934543,-0.001393
5.375000,-35.273989,-0.001288
5.380000,-35.631300,-0.001186
5.385000,-36.008401,-0.001087
5.390000,-36.407520,-0.000992
5.395000,-36.831264,-0.000899
5.400000,-37.282708,-0.000811
5.405000,-37.765512,-0.000725
5.410000,-38.284079,-0.000643
5.415000,-38.843776,-0.000566
5.420000,-39.451226,-0.000492
5.425000,-40.114744,-0.000422
5.430000,-40.844960,-0.000357
5.435000,-41.655767,-0.000296
5.440000,-42.565808,-0.000240
5.445000,-43.600920,-0.000189
5.450000,-44.798389,-0.000143
5.455000,-46.214897,-0.000103
5.460000,-47.942847,-0.000069
5.465000,-50.148573,-0.000042
5.470000,-53.181001,-0.000021
5.475000,-58.004184,-0.000007
5.480000,-70.309294,-0.000001
5.485000,-63.508074,-0.000002
5.490000,-55.591597,-0.000012
5.495000,-51.449865,-0.000032
5.500000,-48.604464,-0.000060
5.505000,-46.422175,-0.000100
5.510000,-44.643407,-0.000150
5.515000,-43.136046,-0.000212
5.520000,-41.823617,-0.000286
5.525000,-40.657847,-0.000374
5.530000,-39.606308,-0.000477
5.535000,-38.646157,-0.000594
5.540000,-37.760698,-0.000729
5.545000,-36.937355,-0.000881
5.550000,-36.166423,-0.001051
5.555000,-35.440253,-0.001243
5.560000,-34.752713,-0.001456
5.565000,-34.098814,-0.001692
5.570000,-33.474444,-0.001954
5.575000,-32.876174,-0.002242
5.580000,-32.301122,-0.002559
5.585000,-31.746841,-0.002907
5.590000,-31.211243,-0.003289
5.595000,-30.692531,-0.003706
5.600000,-30.189158,-0.004162
5.605000,-29.699781,-0.004658
5.610000,-29.223236,-0.005198
5.615000,-28.758511,-0.005786
5.620000,-28.304727,-0.006423
5.625000,-27.861123,-0.007114
5.630000,-27.427043,-0.007862
5.635000,-27.001927,-0.008671
5.640000,-26.585300,-0.009545
5.645000,-26.176768,-0.010487
5.650000,-25.776011,-0.011502
5.655000,-25.382783,-0.012594
5.660000,-24.996902,-0.013766
5.665000,-24.618254,-0.015022
5.670000,-24.246788,-0.016365
5.675000,-23.882514,-0.017800
5.680000,-23.525504,-0.019328
5.685000,-23.175888,-0.020952
5.690000,-22.833856,-0.022673
5.695000,-22.499654,-0.024492
5.700000,-22.173581,-0.026407
5.705000,-21.855990,-0.028417
5.710000,-21.547280,-0.030518
5.715000,-21.247897,-0.032705
5.720000,-20.958320,-0.034969
